gene,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets,n_datasets_reproducible,consensus_fraction
FSHR,0.0,0.0,0.0,0.0005510611399999999,0.0,0.0005510611399999999,-0.015477620154838913,0.03460901079614063,5,0,0.0
FURIN,1.01692885,0.21009976246880502,0.26167861600000003,0.620865548,0.861617292,0.861617292,-0.28464258980270635,0.6244377550553891,5,1,0.2
FZD1,0.1572513818,0.07582543767173434,0.62570826,0.0230216648,0.10587037380000001,0.62570826,-1.8813890170804597,0.3710948702526045,5,0,0.0
FZD10,0.06584349314,0.02252780102252918,0.0394293052,0.0020522309068342,0.05064513834000001,0.05580898974,0.017017688429887164,0.27876212848378423,5,0,0.0
FZD2,0.0866741732,0.0325043939235714,0.1601217554,0.0347001738,0.02264219676,0.1601217554,-0.5098262804106087,0.5457387056431622,5,0,0.0
FZD3,0.1648210814,0.09274083163215974,0.0656924786,0.0462872042,0.0675559776,0.1131586586,0.35210496361707133,0.5711882911605539,5,1,0.2
FZD4,0.0793203926,0.02815728074557362,0.0919614512,0.00621067824,2.12070196,2.12070196,-4.058923174201604,0.23368152517499377,5,0,0.0
FZD5,0.349309682,0.1378690562612024,0.0116175574,0.027735119600000004,0.0447795602,0.0501991602,1.7737781649920368,0.871396841189801,5,3,0.6
FZD6,0.39954586999999997,0.15639548747891693,0.12917360900000002,0.0441360394,0.43472094000000006,0.43472094000000006,-0.25856667142299206,0.5971726089264734,5,1,0.2
FZD7,0.08844314719999999,0.0503833264585188,0.294689158,0.0180237444,0.01672815892,0.294689158,-1.295421788972915,0.4477754663004879,5,0,0.0
FZD8,0.27063205060000006,0.07856875459114498,0.117178476,0.013610937139999998,0.164555656,0.191637924,-0.20764873982456197,0.8413360105966133,5,1,0.2
FZD9,0.00709070712,0.00624478671649448,0.0004916414,0.0007189482,0.00283669092,0.00283669092,0.10505055026085282,0.13081121450477878,5,0,0.0
GABBR1,0.5656660614,0.11438515546059183,0.61767287,0.1472495134,0.4406334568,0.636259644,-0.7722513099108174,0.5663663520180809,5,0,0.0
GABBR2,0.01648303774,0.010165300983732481,0.000130353342,0.0010770987119999998,0.02128066332,0.021353513220000002,-0.030585644844315175,0.6156279904660891,5,0,0.0
GABRA1,0.00038589734600000004,0.00038068363061807993,0.0,0.0,0.0,0.0,0.01095425320505452,0.02220583283216727,5,0,0.0
GABRA2,0.01004432882,0.00261013981727392,0.0024614724,0.00024691730199999997,0.00120973847734,0.0038883198199999996,0.11985577820647897,0.440674102136218,5,0,0.0
GABRA3,0.0043807605,0.00305804560099462,0.0,0.00021244520800000003,0.00026476008,0.00047720528800000006,0.10602353323919278,0.07926881834835625,5,0,0.0
GABRA4,0.0010393998000000002,0.00031323414252152,0.0,0.0009608897,0.00026824676,0.001120394488,-0.0029014267531104797,0.07420903578995185,5,0,0.0
GABRA5,0.0,0.0,0.000102832068,0.0,0.0,0.000102832068,-0.0029519543920443173,0.006600770687090158,5,0,0.0
GABRA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0
GABRB1,0.00029881231000000003,0.00056916210466906,0.0002942763,0.000564044068,0.0033576924,0.003974414040000001,-0.09248150705099391,0.1744176780809012,5,0,0.0
GABRB2,0.009348145479999998,0.00420939441157208,0.0316379112,0.0015650061599999997,0.00026265348,0.032447570319999994,-0.4177636921093578,0.4776079329123564,5,0,0.0
GABRB3,0.0400988144,0.02156998291094126,0.0308809086,0.000727204008,0.0005628249379999999,0.030969611846,0.2963452865632769,0.6523039823877496,5,0,0.0
GABRD,0.004232931702,0.00200489278160484,0.009416235472,0.002766866486,0.35190937959999996,0.35190937959999996,-1.8618953424946987,1.7571286080151365,5,0,0.0
GABRE,0.23967538400000002,0.08972569796577161,0.12308747540000001,0.0054223393000000005,0.25347482179999997,0.312904938,-0.20881667605614956,0.5718060663255533,5,1,0.2
GABRG1,0.004991009321999999,0.0002647751069589,0.0,0.0,0.0,0.0,0.11719788814058536,0.2588763974499053,5,0,0.0
GABRG2,0.00010747914599999999,0.00015661707126076,0.0,8.655965199999999e-05,0.0,8.655965199999999e-05,0.0005978093109466115,0.0013367422568589323,5,0,0.0
GABRG3,0.0065692740900000005,0.006715228244990381,0.00021137028000000002,8.4362392e-06,0.0016768998400000003,0.0016853360792000002,0.11680273369209086,0.20558155700740982,5,0,0.0
GABRP,0.031802098200000004,0.011898292257286619,0.0,0.001468237562,0.00609391008,0.00609391008,0.5348901330433807,0.2336722839258968,5,0,0.0
GABRQ,0.000166543908,0.00034695888656979996,0.0,0.0,0.0,0.0,0.0047890111530961045,0.005517229896771441,5,0,0.0
GABRR1,0.025544004088,0.005514923534943759,0.0017551203,0.00029618906399999994,0.0,0.002051309364,0.36795670202295677,0.7452013166914112,5,0,0.0
GABRR2,0.0029203260412,0.0011819726578841598,0.019625628,0.026706690216,0.0490162618,0.049117707532,-0.44243524761159214,0.9849912366246186,5,0,0.0
GABRR3,0.0,0.0,0.0,6.348747e-05,0.0,6.348747e-05,-0.0018260706464467494,0.004083218097171917,5,0,0.0
GALR1,0.0006317634052,0.00038678947543802,0.001405013,0.00183855045,1.47809386e-06,0.00284159297,-0.05931313442326976,0.07123561577441101,5,0,0.0
GALR2,0.01085294673,0.00422295477561128,0.00020969221999999997,0.00752627974,0.0008889474,0.00752627974,0.06883731545624791,0.2645606101049712,5,0,0.0
GALR3,0.001962663786,0.00056417719241198,0.0,1.2814600000000001e-05,0.00063042672,0.0006432413199999999,0.033899780212900264,0.12830019865108658,5,0,0.0
GAS1,0.01246173672,0.00324192473415656,0.656442516,0.011763795320000001,0.0389253776,0.656442516,-3.4878803303957753,0.3877448345644449,5,0,0.0
GCGR,0.0013075221200000002,0.0006933028853996999,0.0,0.002401083262,0.00040853111600000003,0.00278047538,-0.037656342033518274,0.13432415117440535,5,0,0.0
GDPD2,0.00038807678499999996,0.00030186021728710003,0.0,0.00010767517799999998,0.0,0.00010767517799999998,0.00795310527426676,0.020826112413085594,5,0,0.0
GDPD5,0.048431497000000004,0.027645996821715,0.0589553278,0.1367802404,0.284055918,0.284055918,-1.5388597213843902,0.6153299220777326,5,0,0.0
GFRA1,0.00607765839,0.00214849917402252,0.159558822,0.0006592010834,0.00204652568,0.159558822,-1.6946782534903815,1.0903971837966833,5,0,0.0
GFRA2,0.00032473644,3.70851103282e-05,0.0071520271199999996,0.015732484159999997,0.00012266066980000002,0.01874741124,-0.4144130363216491,0.3462680684544669,5,0,0.0
GFRA3,0.0786799474,0.03392870699408722,0.00026245724,0.0057029455,0.0008503882800000001,0.0057029455,1.0576666461396358,0.6857863016793622,5,0,0.0
GFRA4,0.00063392316,0.00018814675446848,0.0,0.0,0.0,0.0,0.017734789351111932,0.039656194555725666,5,0,0.0
