smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
COCCn1cc(-c2cc(-c3ccn(C)n3)cc([C@@H](C)NC(=O)c3cc(OCCN(C)C)ccc3C)c2)cn1,CHEMBL6163434,IC50,90.0,7.045757490560675,1,530.6730000000003,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cc[nH]n2)c1)c1ccccc1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2ccc(N3CCOCC3)nc2)cc(-c2cccs2)c1,CHEMBL6149682,IC50,90.0,7.045757490560675,1,570.7590000000005,1,O=C(NCc1cc(-c2ccc(N3CCOCC3)nc2)cc(-c2cccs2)c1)c1ccccc1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cccs2)cc(-c2ccc(CN)s2)c1,CHEMBL6162529,IC50,90.0,7.045757490560675,1,519.7360000000003,1,O=C(NCc1cc(-c2cccs2)cc(-c2cccs2)c1)c1ccccc1,SARS_Mpro_train
CCC(C(=O)Nc1cc(NC2CNC2)ccc1C)n1cc(Cl)cc2nc(SCc3ccc(F)cc3)nc1-2,CHEMBL6144973,IC50,90.0,7.045757490560675,1,539.08,1,O=C(Cn1cccc2nc(SCc3ccccc3)nc1-2)Nc1cccc(NC2CNC2)c1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cnn(C)c2)cc(-c2cnn(CCO)c2)c1,CHEMBL6162657,IC50,90.0,7.045757490560675,1,516.6460000000003,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cn[nH]c2)c1)c1ccccc1,SARS_Mpro_train
[O-][S+](Cc1cccnc1)c1nnc(-c2ccc(Cl)cc2)o1,CHEMBL5642474,IC50,90.0,7.045757490560675,1,319.773,1,c1ccc(-c2nnc([SH+]Cc3cccnc3)o2)cc1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cnn(CCO)c2)cc(-c2cnn(C(F)F)c2)c1,CHEMBL6165042,IC50,90.0,7.045757490560675,1,552.6260000000003,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cn[nH]c2)c1)c1ccccc1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cnn(C(F)F)c2)cc(-c2cnn(C3CC3)c2)c1,CHEMBL6147876,IC50,90.0,7.045757490560675,1,548.6380000000001,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cnn(C3CC3)c2)c1)c1ccccc1,SARS_Mpro_train
Cc1ccc(OCCN(C)C)cc1C(=O)N[C@H](C)c1cc(-c2cnn(C(F)F)c2)cc(-c2ccn(C)n2)c1,CHEMBL6161173,IC50,90.0,7.045757490560675,1,522.6000000000003,1,O=C(NCc1cc(-c2cn[nH]c2)cc(-c2cc[nH]n2)c1)c1ccccc1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],CHEMBL5419959,IC50,90.0,7.045757490560675,1,558.6990000000003,1,O=C(CNC(=O)OCCSc1ccccc1)NCCC1CCNC1=O,SARS_Mpro_train
